Flight{carNumber=52659661, invNumber='ЭФ987168', sourceStation='Ворсма', destStation='Дзержинская-Новая', carLoadIdleDays=25, carUnloadIdleDays=null, distance =1896,00, travelTime =null} --- (превышен лимит времени погрузки)
Flight{carNumber=29004637, invNumber='32833219', sourceStation='Биклянь', destStation='Уза', carLoadIdleDays=57, carUnloadIdleDays=null, distance =1956,00, travelTime =null} --- (превышен лимит времени погрузки)
Flight{carNumber=29861895, invNumber='32843934', sourceStation='Косяковка', destStation='Центролит', carLoadIdleDays=26, carUnloadIdleDays=null, distance =2250,00, travelTime =null} --- (превышен лимит времени погрузки)
Flight{carNumber=52469509, invNumber='32842084', sourceStation='Ворсма', destStation='Бзыбь', carLoadIdleDays=27, carUnloadIdleDays=null, distance =2291,00, travelTime =null} --- (превышен лимит времени погрузки)
Flight{carNumber=52469673, invNumber='Д0501625', sourceStation='Сороковая', destStation='Кармана', carLoadIdleDays=117, carUnloadIdleDays=null, distance =2214,00, travelTime =null} --- (превышен лимит времени погрузки)
Flight{carNumber=52470564, invNumber='Д0501619', sourceStation='Сороковая', destStation='Кармана', carLoadIdleDays=101, carUnloadIdleDays=null, distance =2214,00, travelTime =null} --- (превышен лимит времени погрузки)
Flight{carNumber=52616794, invNumber='Д0501713', sourceStation='Сороковая', destStation='Кармана', carLoadIdleDays=102, carUnloadIdleDays=null, distance =2214,00, travelTime =null} --- (превышен лимит времени погрузки)
Flight{carNumber=52617198, invNumber='Д0501714', sourceStation='Сороковая', destStation='Кармана', carLoadIdleDays=102, carUnloadIdleDays=null, distance =2214,00, travelTime =null} --- (превышен лимит времени погрузки)
Flight{carNumber=52625571, invNumber='Д0501705', sourceStation='Сороковая', destStation='Кармана', carLoadIdleDays=102, carUnloadIdleDays=null, distance =2214,00, travelTime =null} --- (превышен лимит времени погрузки)
Flight{carNumber=52625829, invNumber='Д0501623', sourceStation='Сороковая', destStation='Кармана', carLoadIdleDays=117, carUnloadIdleDays=null, distance =2214,00, travelTime =null} --- (превышен лимит времени погрузки)
Flight{carNumber=52626124, invNumber='Д0501703', sourceStation='Сороковая', destStation='Кармана', carLoadIdleDays=102, carUnloadIdleDays=null, distance =2214,00, travelTime =null} --- (превышен лимит времени погрузки)
Flight{carNumber=52627486, invNumber='Д0501704', sourceStation='Сороковая', destStation='Кармана', carLoadIdleDays=102, carUnloadIdleDays=null, distance =2214,00, travelTime =null} --- (превышен лимит времени погрузки)
Flight{carNumber=52629144, invNumber='Д0501706', sourceStation='Сороковая', destStation='Кармана', carLoadIdleDays=116, carUnloadIdleDays=null, distance =2214,00, travelTime =null} --- (превышен лимит времени погрузки)
Flight{carNumber=29124153, invNumber='null', sourceStation='Сумгаит', destStation='Ногинск', carLoadIdleDays=50, carUnloadIdleDays=null, distance =2363,00, travelTime =null} --- (превышен лимит времени погрузки)
Flight{carNumber=52625555, invNumber='Д0501707', sourceStation='Сороковая', destStation='Кармана', carLoadIdleDays=117, carUnloadIdleDays=null, distance =2214,00, travelTime =null} --- (превышен лимит времени погрузки)
Flight{carNumber=52627031, invNumber='Д0501618', sourceStation='Сороковая', destStation='Кармана', carLoadIdleDays=103, carUnloadIdleDays=null, distance =2214,00, travelTime =null} --- (превышен лимит времени погрузки)
Flight{carNumber=52627254, invNumber='Д0501701', sourceStation='Сороковая', destStation='Кармана', carLoadIdleDays=102, carUnloadIdleDays=null, distance =2214,00, travelTime =null} --- (превышен лимит времени погрузки)
Flight{carNumber=52641768, invNumber='23340092', sourceStation='Береза Картузская', destStation='Худжанд', carLoadIdleDays=46, carUnloadIdleDays=null, distance =4534,00, travelTime =null} --- (превышен лимит времени погрузки)
Flight{carNumber=52643319, invNumber='ЭФ971131', sourceStation='Находка', destStation='Магнитогорск-Грузовой', carLoadIdleDays=32, carUnloadIdleDays=null, distance =7919,00, travelTime =null} --- (превышен лимит времени погрузки)
Flight{carNumber=28828564, invNumber='ЭХ036838', sourceStation='Полтавская', destStation='Нижнеувельская', carLoadIdleDays=25, carUnloadIdleDays=null, distance =2712,00, travelTime =null} --- (превышен лимит времени погрузки)
Flight{carNumber=28837946, invNumber='С0332673', sourceStation='Мууга', destStation='Михнево', carLoadIdleDays=0, carUnloadIdleDays=null, distance =1231,00, travelTime =null} --- (превышен лимит времени погрузки)
Flight{carNumber=29156791, invNumber='С0332574', sourceStation='Мууга', destStation='Михнево', carLoadIdleDays=0, carUnloadIdleDays=null, distance =1231,00, travelTime =null} --- (превышен лимит времени погрузки)
Flight{carNumber=29157294, invNumber='С0332672', sourceStation='Мууга', destStation='Михнево', carLoadIdleDays=0, carUnloadIdleDays=null, distance =1231,00, travelTime =null} --- (превышен лимит времени погрузки)
Flight{carNumber=52108602, invNumber='110742', sourceStation='Брест-Центральный (эксп.)', destStation='Речная', carLoadIdleDays=47, carUnloadIdleDays=null, distance =2914,00, travelTime =null} --- (превышен лимит времени погрузки)
Flight{carNumber=52627346, invNumber='ЭЛ294799', sourceStation='Разъезд № 1', destStation='Жалагаш', carLoadIdleDays=0, carUnloadIdleDays=null, distance =1103,00, travelTime =null} --- (превышен лимит времени погрузки)
Flight{carNumber=52683448, invNumber='null', sourceStation='Наркевичи', destStation='Вадул-Сирет (эксп.ЧФР)', carLoadIdleDays=0, carUnloadIdleDays=null, distance =319,00, travelTime =null} --- (превышен лимит времени погрузки)
Flight{carNumber=28829646, invNumber='ЭФ991096', sourceStation='Речная', destStation='Серов-Заводской', carLoadIdleDays=26, carUnloadIdleDays=null, distance =732,00, travelTime =null} --- (превышен лимит времени погрузки)
Flight{carNumber=52465689, invNumber='ЭХ030097', sourceStation='Речная', destStation='Стальная', carLoadIdleDays=33, carUnloadIdleDays=null, distance =1081,00, travelTime =null} --- (превышен лимит времени погрузки)
Flight{carNumber=28833226, invNumber='110734', sourceStation='Брест-Центральный (эксп.)', destStation='Электроугли', carLoadIdleDays=0, carUnloadIdleDays=null, distance =1337,00, travelTime =null} --- (превышен лимит времени погрузки)
Flight{carNumber=52469855, invNumber='00660002', sourceStation='Беюк-Кясик', destStation='Алматы 1', carLoadIdleDays=0, carUnloadIdleDays=null, distance =4384,00, travelTime =null} --- (превышен лимит времени погрузки)
Flight{carNumber=52639895, invNumber='null', sourceStation='Хашури', destStation='Сеятель', carLoadIdleDays=0, carUnloadIdleDays=null, distance =5080,00, travelTime =null} --- (превышен лимит времени погрузки)
Flight{carNumber=54472733, invNumber='ЭХ078503', sourceStation='Тамань', destStation='Клещиха', carLoadIdleDays=27, carUnloadIdleDays=null, distance =4171,00, travelTime =null} --- (превышен лимит времени погрузки)
Flight{carNumber=29024650, invNumber='З0435883', sourceStation='Жинишке', destStation='Маарду (эксп. через порт Мууга)', carLoadIdleDays=29, carUnloadIdleDays=null, distance =2907,00, travelTime =null} --- (превышен лимит времени погрузки)
Flight{carNumber=52136512, invNumber='З0435887', sourceStation='Жинишке', destStation='Маарду (эксп. через порт Мууга)', carLoadIdleDays=23, carUnloadIdleDays=null, distance =2907,00, travelTime =null} --- (превышен лимит времени погрузки)
Flight{carNumber=52508603, invNumber='22220840', sourceStation='УЛААНБААТАР', destStation='ЗУУНХАРАА', carLoadIdleDays=0, carUnloadIdleDays=null, distance =170,00, travelTime =null} --- (превышен лимит времени погрузки)
Flight{carNumber=52663119, invNumber='ЭХ050224', sourceStation='Карповская', destStation='Трофимовский II', carLoadIdleDays=22, carUnloadIdleDays=null, distance =461,00, travelTime =null} --- (превышен лимит времени погрузки)
Flight{carNumber=52663226, invNumber='ЭХ051493', sourceStation='Карповская', destStation='Навашино', carLoadIdleDays=40, carUnloadIdleDays=null, distance =1230,00, travelTime =null} --- (превышен лимит времени погрузки)
Flight{carNumber=28833069, invNumber='32840037', sourceStation='Низовка', destStation='Забайкальск (эксп.КЖД)', carLoadIdleDays=29, carUnloadIdleDays=null, distance =6118,00, travelTime =null} --- (превышен лимит времени погрузки)
Flight{carNumber=29010410, invNumber='ЭЛ297014', sourceStation='Аксенгер (рзд)', destStation='Шымкент', carLoadIdleDays=0, carUnloadIdleDays=null, distance =729,00, travelTime =null} --- (превышен лимит времени погрузки)
Flight{carNumber=29289097, invNumber='32800677', sourceStation='Павлодар-Южный', destStation='Алматы 1', carLoadIdleDays=0, carUnloadIdleDays=null, distance =1402,00, travelTime =null} --- (превышен лимит времени погрузки)
Flight{carNumber=52505716, invNumber='ЭЛ297032', sourceStation='Аксенгер (рзд)', destStation='Уральск', carLoadIdleDays=0, carUnloadIdleDays=null, distance =2694,00, travelTime =null} --- (превышен лимит времени погрузки)
Flight{carNumber=29104098, invNumber='ЭФ993067', sourceStation='Бескудниково', destStation='Омск-Восточный', carLoadIdleDays=24, carUnloadIdleDays=null, distance =2733,00, travelTime =null} --- (превышен лимит времени погрузки)
Flight{carNumber=29896297, invNumber='null', sourceStation='Сумгаит', destStation='Ногинск', carLoadIdleDays=43, carUnloadIdleDays=null, distance =2363,00, travelTime =null} --- (превышен лимит времени погрузки)
Flight{carNumber=52916418, invNumber='32847676', sourceStation='Шарья', destStation='Атырау', carLoadIdleDays=36, carUnloadIdleDays=null, distance =2339,00, travelTime =null} --- (превышен лимит времени погрузки)
Flight{carNumber=29023041, invNumber='ЭХ049844', sourceStation='Рязань II', destStation='Санкт-Петербург-Тов.-Московский', carLoadIdleDays=32, carUnloadIdleDays=null, distance =1236,00, travelTime =null} --- (превышен лимит времени погрузки)
Flight{carNumber=52635224, invNumber='null', sourceStation='Ровно', destStation='Харьков-Лиски', carLoadIdleDays=0, carUnloadIdleDays=null, distance =895,00, travelTime =null} --- (превышен лимит времени погрузки)
Flight{carNumber=52639788, invNumber='Ж0386075', sourceStation='Жанааул', destStation='Новосибирск-Западный', carLoadIdleDays=30, carUnloadIdleDays=null, distance =1356,00, travelTime =null} --- (превышен лимит времени погрузки)
Flight{carNumber=52654837, invNumber='ЭХ087844', sourceStation='Речная', destStation='Новолипецк', carLoadIdleDays=21, carUnloadIdleDays=null, distance =1708,00, travelTime =null} --- (превышен лимит времени погрузки)
Flight{carNumber=28074656, invNumber='32778379', sourceStation='Наушки (эксп. АО "УБЖД": участок Улаанбаатар (вкл.) и далее)', destStation='УЛААНБААТАР', carLoadIdleDays=0, carUnloadIdleDays=null, distance =6622,00, travelTime =null} --- (превышен лимит времени погрузки)
Flight{carNumber=28075067, invNumber='32778570', sourceStation='Наушки (эксп. АО "УБЖД": участок Улаанбаатар (вкл.) и далее)', destStation='УЛААНБААТАР', carLoadIdleDays=0, carUnloadIdleDays=null, distance =6622,00, travelTime =null} --- (превышен лимит времени погрузки)
Flight{carNumber=28078152, invNumber='32778489', sourceStation='Наушки (эксп. АО "УБЖД": участок Улаанбаатар (вкл.) и далее)', destStation='УЛААНБААТАР', carLoadIdleDays=0, carUnloadIdleDays=null, distance =6622,00, travelTime =null} --- (превышен лимит времени погрузки)
Flight{carNumber=52637220, invNumber='32747522', sourceStation='Наушки (эксп. АО "УБЖД": участок Улаанбаатар (вкл.) и далее)', destStation='УЛААНБААТАР', carLoadIdleDays=0, carUnloadIdleDays=null, distance =6622,00, travelTime =null} --- (превышен лимит времени погрузки)
Flight{carNumber=52652922, invNumber='32747564', sourceStation='Наушки (эксп. АО "УБЖД": участок Улаанбаатар (вкл.) и далее)', destStation='УЛААНБААТАР', carLoadIdleDays=0, carUnloadIdleDays=null, distance =6622,00, travelTime =null} --- (превышен лимит времени погрузки)
Flight{carNumber=28085835, invNumber='null', sourceStation='Шу', destStation='Душанбе II', carLoadIdleDays=0, carUnloadIdleDays=null, distance =1583,00, travelTime =null} --- (превышен лимит времени погрузки)
Flight{carNumber=52013034, invNumber='null', sourceStation='Шымкент', destStation='Душанбе II', carLoadIdleDays=0, carUnloadIdleDays=null, distance =1148,00, travelTime =null} --- (превышен лимит времени погрузки)
Flight{carNumber=54473996, invNumber='ЭХ081449', sourceStation='Магнитогорск-Грузовой', destStation='Ярославль-Главный', carLoadIdleDays=23, carUnloadIdleDays=null, distance =1973,00, travelTime =null} --- (превышен лимит времени погрузки)
Flight{carNumber=52663168, invNumber='32851797', sourceStation='Косяковка', destStation='Казыкурт', carLoadIdleDays=25, carUnloadIdleDays=null, distance =2047,00, travelTime =null} --- (превышен лимит времени погрузки)
Flight{carNumber=29023132, invNumber='ЭХ106138', sourceStation='Тамань', destStation='Екатеринбург-Товарный', carLoadIdleDays=28, carUnloadIdleDays=null, distance =2874,00, travelTime =null} --- (превышен лимит времени погрузки)
Flight{carNumber=52634532, invNumber='32683295', sourceStation='Наушки (эксп. АО "УБЖД": участок Улаанбаатар (вкл.) и далее)', destStation='УЛААНБААТАР', carLoadIdleDays=0, carUnloadIdleDays=null, distance =6622,00, travelTime =null} --- (превышен лимит времени погрузки)
Flight{carNumber=52584158, invNumber='ЭХ113481', sourceStation='Мурманск', destStation='Мончегорск', carLoadIdleDays=0, carUnloadIdleDays=null, distance =143,00, travelTime =null} --- (превышен лимит времени погрузки)
Flight{carNumber=29004728, invNumber='ЭХ061955', sourceStation='Перевоз', destStation='Полпинская', carLoadIdleDays=35, carUnloadIdleDays=null, distance =5188,00, travelTime =null} --- (превышен лимит времени погрузки)
